Wall time,Step,Value
1588897097.239487,0,678.0
1588897528.991405,10,608.0
1588898037.877584,20,4.0
1588898748.022717,30,26.0
1588899409.946264,40,228.0
1588900163.232225,50,258.0
1588900885.868121,60,70.0
1588901605.226345,70,243.0
1588902351.231549,80,45.0
1588903067.876874,90,55.0
1588903854.882248,100,48.0
1588904603.171611,110,186.0
1588905237.145916,120,47.0
1588905985.808128,130,81.0
1588906687.466658,140,71.0
1588907446.717943,150,59.0
1588908251.600642,160,150.0
1588908960.348888,170,77.0
1588909742.700406,180,45.0
1588910558.092189,190,11.0
1588911315.416034,200,34.0
1588911991.03999,210,44.0
1588912827.028713,220,6.0
1588913581.241019,230,13.0
1588914342.511112,240,69.0
1588915099.487402,250,88.0
1588915922.71069,260,63.0
1588916740.966442,270,22.0
1588917627.726136,280,42.0
1588918431.592289,290,0.0
1588919267.813529,300,57.0
1588920072.68839,310,77.0
1588920726.280727,320,0.0
1588921439.501129,330,36.0
1588922260.71663,340,80.0
1588922942.45332,350,0.0
1588923733.394887,360,72.0
1588924537.396278,370,37.0
1588925351.654967,380,22.0
1588926051.272156,390,0.0
1588926674.82036,400,0.0
1588927310.903737,410,0.0
1588928023.227121,420,0.0
1588928644.308051,430,2.0
1588929202.391555,440,0.0
1588929810.142053,450,0.0
1588930366.216546,460,0.0
1588931011.269527,470,0.0
1588931874.490952,480,14.0
1588932789.854738,490,197.0
1588933612.555786,500,149.0
1588934497.551924,510,0.0
1588935513.810724,520,42.0
1588936577.95833,530,18.0
1588937357.795504,540,0.0
1588938168.541598,550,0.0
1588939183.671029,560,52.0
1588940128.989794,570,35.0
1588941089.823582,580,24.0
1588941931.323564,590,0.0
