Wall time,Step,Value
1588896988.531843,0,48.0
1588898009.810622,10,133.0
1588899570.425948,20,119.0
1588901050.366805,30,41.0
1588903289.746317,40,68.0
1588905987.661526,50,59.0
1588908483.445247,60,134.0
1588911160.599517,70,152.0
1588913694.765449,80,80.0
1588915973.475391,90,103.0
1588918539.225834,100,101.0
1588921114.688089,110,83.0
1588923391.85578,120,89.0
1588925652.837457,130,36.0
1588928299.770634,140,69.0
1588930396.720965,150,91.0
1588932834.81116,160,64.0
1588935093.449586,170,38.0
1588937137.897634,180,21.0
1588939824.885554,190,88.0
1588942196.18,200,89.0
1588944643.109222,210,150.0
1588947025.912951,220,133.0
1588949274.077309,230,140.0
1588951955.488355,240,86.0
1588954420.401234,250,242.0
1588956789.357996,260,47.0
1588959373.600609,270,102.0
1588961447.614509,280,44.0
1588964021.920472,290,96.0
1588966352.201656,300,127.0
1588968922.538672,310,68.0
1588971218.955624,320,96.0
1588973405.910635,330,110.0
1588976010.50949,340,36.0
1588977885.099902,350,179.0
1588980314.000879,360,122.0
1588982918.191651,370,97.0
1588985204.062688,380,134.0
1588987488.603714,390,118.0
1588989920.368768,400,186.0
1588992283.369957,410,71.0
1588994839.75416,420,75.0
1588996927.783447,430,87.0
1588999311.839839,440,157.0
1589002101.234831,450,73.0
1589004584.555093,460,42.0
1589006563.606449,470,103.0
1589008544.614492,480,115.0
1589010877.480906,490,134.0
1589012653.409668,500,157.0
1589014322.242142,510,93.0
1589015924.169181,520,168.0
1589017599.620531,530,177.0
1589019191.724186,540,153.0
1589020353.018427,550,203.0
1589021727.850314,560,189.0
1589023200.407105,570,218.0
1589024512.405977,580,203.0
1589025629.42453,590,214.0
