Wall time,Step,Value
1588542090.574701,0,56.0
1588542651.542179,10,119.0
1588543363.305094,20,0.0
1588544321.235885,30,421.0
1588545093.395361,40,587.0
1588546041.46,50,381.0
1588546859.399285,60,725.0
1588547812.163555,70,427.0
1588548727.321231,80,451.0
1588549701.978464,90,619.0
1588550463.693135,100,1159.0
1588551323.564802,110,283.0
1588552208.619002,120,570.0
1588552995.674881,130,440.0
1588553883.065402,140,602.0
1588554936.925714,150,739.0
1588555843.501609,160,899.0
1588556745.740487,170,515.0
1588557717.022972,180,599.0
1588558760.210528,190,582.0
1588559602.934212,200,728.0
1588560542.428186,210,419.0
1588561373.124739,220,878.0
1588562365.541926,230,461.0
1588563388.136774,240,664.0
1588564331.460665,250,841.0
1588565262.736741,260,993.0
1588566216.402839,270,651.0
1588567337.854612,280,596.0
1588568301.766956,290,676.0
1588569235.934447,300,773.0
1588570198.849394,310,652.0
1588571198.898979,320,1248.0
1588572119.73063,330,782.0
1588572992.68559,340,650.0
1588573890.76624,350,767.0
1588574884.939724,360,1282.0
1588575776.791719,370,1312.0
1588576748.714395,380,841.0
1588577636.711087,390,902.0
1588578429.416682,400,1250.0
1588579309.585531,410,830.0
1588580096.470144,420,959.0
1588580769.335131,430,646.0
1588581631.876627,440,893.0
1588582350.170051,450,1109.0
1588583020.079671,460,1450.0
1588583657.987902,470,1349.0
1588584300.234369,480,1131.0
1588584878.075759,490,1605.0
1588585481.46827,500,1218.0
1588586149.183281,510,1361.0
1588586847.18803,520,976.0
1588587503.360685,530,1324.0
1588588020.948098,540,1168.0
1588588469.308788,550,1397.0
1588589036.335423,560,1452.0
1588589561.823339,570,1327.0
1588590098.555982,580,1304.0
1588590628.767527,590,1397.0
