Wall time,Step,Value
1588859560.484601,0,9.0
1588859943.895068,10,47.0
1588860410.832868,20,22.0
1588860972.823966,30,371.0
1588861603.620828,40,414.0
1588862174.030403,50,347.0
1588862887.321671,60,452.0
1588863510.942534,70,340.0
1588864187.276717,80,589.0
1588864829.470598,90,320.0
1588865584.545252,100,335.0
1588866271.685113,110,591.0
1588866886.116151,120,239.0
1588867536.522195,130,628.0
1588868219.190533,140,579.0
1588868826.242239,150,665.0
1588869426.255177,160,423.0
1588870082.46,170,463.0
1588870803.241999,180,754.0
1588871507.608789,190,579.0
1588872121.523648,200,952.0
1588872746.321334,210,560.0
1588873388.54051,220,736.0
1588874013.760597,230,657.0
1588874704.117979,240,495.0
1588875367.760489,250,470.0
1588876089.315991,260,656.0
1588876850.267863,270,518.0
1588877586.362804,280,588.0
1588878199.945865,290,948.0
1588878906.347597,300,760.0
1588879641.932553,310,829.0
1588880258.331353,320,948.0
1588880999.140263,330,1016.0
1588881661.258291,340,917.0
1588882431.346005,350,832.0
1588883140.92144,360,904.0
1588883737.537624,370,1396.0
1588884365.008531,380,1387.0
1588885072.198644,390,847.0
1588885697.108829,400,1119.0
1588886272.925018,410,989.0
1588886894.385154,420,1605.0
1588887497.45582,430,1500.0
1588888050.463287,440,918.0
1588888631.280027,450,1283.0
1588889186.625475,460,1441.0
1588889847.843458,470,1181.0
1588890376.375427,480,1537.0
1588890885.559769,490,1497.0
1588891356.784983,500,1636.0
1588891795.057629,510,1473.0
1588892284.939127,520,1511.0
1588892830.728724,530,1393.0
1588893317.765952,540,1676.0
1588893769.871409,550,1573.0
1588894219.967759,560,1636.0
1588894679.168473,570,1650.0
1588895109.159256,580,1458.0
1588895553.49207,590,1441.0
