Wall time,Step,Value
1588542824.138048,0,392.0
1588543361.623833,10,410.0
1588544009.138447,20,143.0
1588544945.082009,30,63.0
1588545763.497374,40,541.0
1588546610.454422,50,552.0
1588547540.847659,60,244.0
1588548406.296009,70,457.0
1588549445.900485,80,278.0
1588550371.005806,90,600.0
1588551285.18862,100,289.0
1588552091.558644,110,669.0
1588552997.394707,120,549.0
1588553837.134012,130,619.0
1588554729.566904,140,668.0
1588555723.223036,150,505.0
1588556580.612611,160,340.0
1588557535.803916,170,678.0
1588558381.741344,180,974.0
1588559220.673773,190,819.0
1588560258.626735,200,369.0
1588561268.54337,210,424.0
1588562279.870439,220,620.0
1588563054.890875,230,341.0
1588564144.491441,240,337.0
1588565080.880444,250,616.0
1588565980.155399,260,630.0
1588566799.345837,270,695.0
1588567611.49007,280,893.0
1588568358.818486,290,584.0
1588569138.934651,300,702.0
1588570035.118526,310,931.0
1588570838.09237,320,516.0
1588571692.456289,330,844.0
1588572461.582022,340,395.0
1588573201.157014,350,578.0
1588574046.059348,360,516.0
1588574791.856716,370,458.0
1588575516.892026,380,589.0
1588576308.35025,390,529.0
1588577021.843636,400,637.0
1588577715.402822,410,685.0
1588578427.582184,420,1241.0
1588579071.939497,430,677.0
1588579635.647914,440,777.0
1588580235.03935,450,861.0
1588580811.652918,460,1046.0
1588581429.186338,470,701.0
1588582042.16426,480,914.0
1588582568.957259,490,744.0
1588583026.333262,500,1125.0
1588583648.829673,510,775.0
1588584081.783609,520,970.0
1588584673.461392,530,797.0
1588585483.803962,540,805.0
1588586104.426749,550,843.0
1588586873.179307,560,990.0
1588587646.802561,570,952.0
1588588561.557193,580,744.0
1588589552.861027,590,852.0
