Wall time,Step,Value
1589143562.661278,0,140.0
1589143985.897599,10,81.0
1589144573.385596,20,95.0
1589145276.166658,30,361.0
1589146015.575616,40,438.0
1589146701.045401,50,415.0
1589147392.153471,60,214.0
1589148197.615328,70,306.0
1589148982.015547,80,570.0
1589149815.34691,90,579.0
1589150545.140734,100,447.0
1589151294.934468,110,639.0
1589152065.408868,120,441.0
1589152849.156304,130,398.0
1589153576.819987,140,540.0
1589154354.098116,150,703.0
1589155090.739082,160,18.0
1589155792.466434,170,502.0
1589156694.537577,180,74.0
1589157597.315473,190,433.0
1589158446.626504,200,652.0
1589159259.576288,210,644.0
1589160096.437783,220,497.0
1589160896.028026,230,616.0
1589161878.216255,240,516.0
1589162699.854697,250,625.0
1589163553.268546,260,996.0
1589164369.326073,270,1021.0
1589165208.831339,280,981.0
1589166132.900639,290,877.0
1589167009.564364,300,726.0
1589167971.049672,310,800.0
1589168760.174338,320,803.0
1589169744.100948,330,788.0
1589170620.906649,340,751.0
1589171455.586101,350,697.0
1589172344.592117,360,870.0
1589173174.618496,370,794.0
1589174063.587043,380,696.0
1589174979.795761,390,779.0
1589175912.609861,400,1475.0
1589176728.462359,410,938.0
1589177542.403111,420,881.0
1589178271.350002,430,923.0
1589178965.786714,440,781.0
1589179690.342071,450,568.0
1589180292.25579,460,1106.0
1589181069.368395,470,1231.0
1589181766.1185,480,1547.0
1589182443.700894,490,1027.0
1589183189.034936,500,945.0
1589183957.528797,510,1028.0
1589184628.289395,520,1346.0
1589185360.892407,530,1165.0
1589185997.780662,540,354.0
1589186688.848547,550,1339.0
1589187273.533388,560,1391.0
1589187917.072391,570,1106.0
1589188470.89685,580,1222.0
1589189079.748512,590,1406.0
