Wall time,Step,Value
1588897139.754462,0,9.0
1588898134.483325,10,288.0
1588899381.902221,20,285.0
1588900795.235624,30,203.0
1588902327.585897,40,213.0
1588904022.153094,50,396.0
1588906083.738789,60,164.0
1588908091.916913,70,369.0
1588909929.152435,80,731.0
1588912183.206736,90,1057.0
1588914703.870269,100,717.0
1588916721.587961,110,731.0
1588919185.56979,120,898.0
1588921670.864898,130,878.0
1588924321.7337,140,775.0
1588927215.888547,150,693.0
1588929586.697921,160,931.0
1588932342.483962,170,1035.0
1588935483.183763,180,463.0
1588937884.638586,190,678.0
1588940616.167518,200,1040.0
1588943332.461314,210,1159.0
1588945864.290071,220,1020.0
1588948839.7085,230,1159.0
1588951723.172074,240,1135.0
1588954278.588044,250,1141.0
1588956849.289147,260,1136.0
1588959632.733075,270,1192.0
1588962054.940085,280,999.0
1588964457.441279,290,974.0
1588966745.807957,300,1047.0
1588969148.181644,310,866.0
1588971862.977269,320,1055.0
1588974105.645736,330,1270.0
1588976426.413547,340,1155.0
1588978373.61861,350,1254.0
1588980367.209989,360,1296.0
1588982405.075661,370,1168.0
1588984555.941992,380,1226.0
1588986504.834678,390,1053.0
1588988652.035911,400,994.0
1588990489.011009,410,1128.0
1588992220.705017,420,1085.0
1588994107.127502,430,1232.0
1588995857.205551,440,1202.0
1588997617.888758,450,1339.0
1588999148.80339,460,1362.0
1589000900.19792,470,1432.0
1589002368.377645,480,1269.0
1589004113.405683,490,1409.0
1589005820.407598,500,1365.0
1589007419.021537,510,1344.0
1589009081.721225,520,1394.0
1589010637.583353,530,1202.0
1589012261.237932,540,1099.0
1589014063.066903,550,1177.0
1589015865.714553,560,1240.0
1589017968.756016,570,1117.0
1589019780.086573,580,1240.0
1589021441.631769,590,1239.0
