Wall time,Step,Value
1588901725.215818,0,148.0
1588902882.997489,10,405.0
1588904603.998678,20,642.0
1588906880.817086,30,144.0
1588909409.724228,40,34.0
1588912507.260202,50,136.0
1588915155.844192,60,191.0
1588918784.336621,70,193.0
1588921950.674517,80,184.0
1588924861.707437,90,148.0
1588927697.757293,100,303.0
1588930281.516366,110,466.0
1588932259.904022,120,554.0
1588934395.729359,130,398.0
1588936676.586344,140,358.0
1588938911.566414,150,290.0
1588940856.911527,160,448.0
1588942763.461663,170,453.0
1588944652.367957,180,406.0
1588946656.226462,190,382.0
1588948403.444654,200,407.0
1588950105.064747,210,426.0
1588951874.445693,220,493.0
1588953239.452594,230,597.0
1588954826.226805,240,587.0
1588956515.868852,250,652.0
1588957991.963929,260,679.0
1588959642.407919,270,576.0
1588961111.545534,280,675.0
1588962807.094446,290,735.0
1588964695.473418,300,632.0
1588966095.200304,310,708.0
1588967705.543094,320,754.0
1588969296.442727,330,695.0
1588970816.093849,340,777.0
1588972355.546768,350,748.0
1588974006.533799,360,861.0
1588975584.787482,370,869.0
1588977302.486946,380,801.0
1588978795.531736,390,527.0
1588980184.490852,400,636.0
1588981669.603211,410,606.0
1588983426.010087,420,882.0
1588985016.730817,430,967.0
1588986923.629912,440,1084.0
1588988594.082239,450,995.0
1588990064.153314,460,1038.0
1588991811.795855,470,1076.0
1588993271.061204,480,1148.0
1588994744.972629,490,1040.0
1588996170.277669,500,1076.0
1588997530.22962,510,1163.0
1588999125.001218,520,1046.0
1589000645.413764,530,1191.0
1589002252.16168,540,1100.0
1589003584.090891,550,1105.0
1589005455.551233,560,1020.0
1589006857.145118,570,1184.0
1589008253.578091,580,1215.0
1589009791.515544,590,1279.0
