Wall time,Step,Value
1588897097.239767,0,2590.0
1588897528.991686,10,2659.0
1588898037.877872,20,3245.0
1588898748.022973,30,3223.0
1588899409.946548,40,3026.0
1588900163.232514,50,3001.0
1588900885.868414,60,3048.0
1588901605.226608,70,3012.0
1588902351.231805,80,3205.0
1588903067.87713,90,3194.0
1588903854.882517,100,3200.0
1588904603.171868,110,3064.0
1588905237.146197,120,3201.0
1588905985.808391,130,3170.0
1588906687.466913,140,3178.0
1588907446.7182,150,3190.0
1588908251.600916,160,3101.0
1588908960.34914,170,3172.0
1588909742.700687,180,3205.0
1588910558.092455,190,3237.0
1588911315.41629,200,3214.0
1588911991.040246,210,3205.0
1588912827.028966,220,3242.0
1588913581.241275,230,3118.0
1588914342.511376,240,2613.0
1588915099.487663,250,3162.0
1588915922.71097,260,3186.0
1588916740.966698,270,3226.0
1588917627.726401,280,3196.0
1588918431.592546,290,0.0
1588919267.813786,300,3192.0
1588920072.688691,310,3172.0
1588920726.280975,320,0.0
1588921439.501393,330,3212.0
1588922260.716886,340,3169.0
1588922942.453578,350,0.0
1588923733.395158,360,3050.0
1588924537.396561,370,3211.0
1588925351.655227,380,3090.0
1588926051.272414,390,0.0
1588926674.820614,400,0.0
1588927310.904019,410,0.0
1588928023.227378,420,0.0
1588928644.308322,430,2400.0
1588929202.391915,440,0.0
1588929810.142304,450,0.0
1588930366.216833,460,0.0
1588931011.269776,470,0.0
1588931874.491206,480,3234.0
1588932789.854994,490,2938.0
1588933612.556047,500,2987.0
1588934497.552172,510,0.0
1588935513.810977,520,3090.0
1588936577.958595,530,3118.0
1588937357.795753,540,0.0
1588938168.541848,550,0.0
1588939183.671288,560,3067.0
1588940128.990052,570,3214.0
1588941089.823843,580,2908.0
1588941931.323823,590,3248.0
