Wall time,Step,Value
1588896988.532095,0,867.0
1588898009.810867,10,783.0
1588899570.426191,20,798.0
1588901050.367043,30,874.0
1588903289.746576,40,847.0
1588905987.661778,50,855.0
1588908483.445512,60,784.0
1588911160.599768,70,766.0
1588913694.765705,80,836.0
1588915973.475643,90,814.0
1588918539.226084,100,814.0
1588921114.68834,110,834.0
1588923391.85603,120,827.0
1588925652.83771,130,878.0
1588928299.770884,140,847.0
1588930396.721219,150,825.0
1588932834.811427,160,850.0
1588935093.449836,170,876.0
1588937137.897889,180,893.0
1588939824.885804,190,826.0
1588942196.18025,200,827.0
1588944643.109481,210,767.0
1588947025.913203,220,785.0
1588949274.077569,230,779.0
1588951955.488629,240,828.0
1588954420.401503,250,679.0
1588956789.358244,260,840.0
1588959373.600878,270,814.0
1588961447.614758,280,871.0
1588964021.920725,290,819.0
1588966352.201909,300,790.0
1588968922.538924,310,846.0
1588971218.955877,320,819.0
1588973405.910885,330,808.0
1588976010.509745,340,879.0
1588977885.100156,350,738.0
1588980314.001137,360,797.0
1588982918.191903,370,818.0
1588985204.06294,380,781.0
1588987488.603963,390,799.0
1588989920.369021,400,728.0
1588992283.370214,410,843.0
1588994839.754439,420,839.0
1588996927.7837,430,829.0
1588999311.840091,440,758.0
1589002101.235083,450,842.0
1589004584.555347,460,872.0
1589006563.606699,470,812.0
1589008544.614744,480,804.0
1589010877.481153,490,785.0
1589012653.409947,500,761.0
1589014322.242377,510,825.0
1589015924.169428,520,751.0
1589017599.620793,530,739.0
1589019191.724449,540,766.0
1589020353.018671,550,715.0
1589021727.850587,560,729.0
1589023200.407345,570,699.0
1589024512.406216,580,717.0
1589025629.424866,590,704.0
