Wall time,Step,Value
1588542090.57505,0,3194.0
1588542651.542446,10,3130.0
1588543363.305354,20,0.0
1588544321.23615,30,1497.0
1588545093.395649,40,78.0
1588546041.460278,50,2359.0
1588546859.39957,60,2319.0
1588547812.163842,70,798.0
1588548727.321512,80,2817.0
1588549701.978736,90,2612.0
1588550463.6934,100,42.0
1588551323.565068,110,2981.0
1588552208.619274,120,2702.0
1588552995.675147,130,2822.0
1588553883.065688,140,2659.0
1588554936.925983,150,2530.0
1588555843.50188,160,2376.0
1588556745.74078,170,2762.0
1588557717.023234,180,2664.0
1588558760.210809,190,2441.0
1588559602.934478,200,2537.0
1588560542.428447,210,2856.0
1588561373.125003,220,2400.0
1588562365.542192,230,2816.0
1588563388.137042,240,2582.0
1588564331.460937,250,2444.0
1588565262.737012,260,1462.0
1588566216.403105,270,2628.0
1588567337.854892,280,2599.0
1588568301.767225,290,2529.0
1588569235.934725,300,2400.0
1588570198.849668,310,2596.0
1588571198.899244,320,465.0
1588572119.7309,330,2090.0
1588572992.685862,340,2537.0
1588573890.766514,350,2378.0
1588574884.939997,360,344.0
1588575776.79198,370,807.0
1588576748.714664,380,1780.0
1588577636.711343,390,1781.0
1588578429.416947,400,996.0
1588579309.585803,410,2394.0
1588580096.470393,420,1333.0
1588580769.335377,430,2408.0
1588581631.876878,440,2335.0
1588582350.170303,450,1820.0
1588583020.079923,460,1198.0
1588583657.988151,470,250.0
1588584300.234628,480,710.0
1588584878.076008,490,236.0
1588585481.468521,500,238.0
1588586149.18353,510,166.0
1588586847.188281,520,1902.0
1588587503.360937,530,1410.0
1588588020.948336,540,1038.0
1588588469.309029,550,120.0
1588589036.335671,560,293.0
1588589561.823599,570,90.0
1588590098.556222,580,98.0
1588590628.767776,590,131.0
