Wall time,Step,Value
1588859560.484859,0,3239.0
1588859943.895329,10,3201.0
1588860410.83313,20,3226.0
1588860972.824232,30,37.0
1588861603.621089,40,2850.0
1588862174.030669,50,2911.0
1588862887.321922,60,2758.0
1588863510.942787,70,2830.0
1588864187.276966,80,2349.0
1588864829.470877,90,2828.0
1588865584.545526,100,2790.0
1588866271.685363,110,2049.0
1588866886.116429,120,3018.0
1588867536.522458,130,2635.0
1588868219.190804,140,2682.0
1588868826.242504,150,1720.0
1588869426.255464,160,2824.0
1588870082.460262,170,2798.0
1588870803.242253,180,2345.0
1588871507.609041,190,2597.0
1588872121.523898,200,2001.0
1588872746.321593,210,2695.0
1588873388.540758,220,2374.0
1588874013.760847,230,2451.0
1588874704.118228,240,2769.0
1588875367.760741,250,2678.0
1588876089.316238,260,2614.0
1588876850.268112,270,2743.0
1588877586.363054,280,2656.0
1588878199.946125,290,1416.0
1588878906.347846,300,2378.0
1588879641.932819,310,2339.0
1588880258.331616,320,1425.0
1588880999.14053,330,2021.0
1588881661.258589,340,1073.0
1588882431.34625,350,2401.0
1588883140.921696,360,2379.0
1588883737.537892,370,1043.0
1588884365.008773,380,293.0
1588885072.198887,390,2440.0
1588885697.109076,400,1401.0
1588886272.925264,410,1322.0
1588886894.385407,420,189.0
1588887497.456067,430,836.0
1588888050.463541,440,2321.0
1588888631.280297,450,682.0
1588889186.625722,460,316.0
1588889847.843704,470,1903.0
1588890376.375673,480,437.0
1588890885.560015,490,970.0
1588891356.78523,500,100.0
1588891795.057876,510,461.0
1588892284.939372,520,157.0
1588892830.728969,530,236.0
1588893317.766197,540,201.0
1588893769.871652,550,239.0
1588894219.968004,560,159.0
1588894679.168716,570,119.0
1588895109.159508,580,73.0
1588895553.492316,590,307.0
