Wall time,Step,Value
1588542824.138317,0,2870.0
1588543361.624086,10,2792.0
1588544009.138701,20,146.0
1588544945.082272,30,2721.0
1588545763.497624,40,2590.0
1588546610.454673,50,2434.0
1588547540.84791,60,2352.0
1588548406.296266,70,2582.0
1588549445.900735,80,2161.0
1588550371.006054,90,2665.0
1588551285.188871,100,2830.0
1588552091.558893,110,2611.0
1588552997.394955,120,2127.0
1588553837.134271,130,427.0
1588554729.567162,140,372.0
1588555723.223297,150,2756.0
1588556580.61286,160,2915.0
1588557535.804173,170,2059.0
1588558381.741592,180,897.0
1588559220.674022,190,50.0
1588560258.626986,200,2577.0
1588561268.54362,210,2527.0
1588562279.870688,220,1223.0
1588563054.891133,230,1352.0
1588564144.49169,240,2585.0
1588565080.880692,250,2392.0
1588565980.155648,260,634.0
1588566799.346085,270,1393.0
1588567611.490325,280,415.0
1588568358.818735,290,109.0
1588569138.934902,300,164.0
1588570035.118773,310,234.0
1588570838.092619,320,5.0
1588571692.456538,330,363.0
1588572461.582279,340,149.0
1588573201.157273,350,471.0
1588574046.059597,360,610.0
1588574791.856963,370,300.0
1588575516.892283,380,407.0
1588576308.350497,390,212.0
1588577021.843886,400,194.0
1588577715.403071,410,357.0
1588578427.58246,420,323.0
1588579071.939745,430,404.0
1588579635.648172,440,173.0
1588580235.039601,450,238.0
1588580811.653174,460,36.0
1588581429.186586,470,208.0
1588582042.164509,480,224.0
1588582568.95751,490,189.0
1588583026.333512,500,275.0
1588583648.829922,510,41.0
1588584081.783856,520,162.0
1588584673.461673,530,125.0
1588585483.804253,540,104.0
1588586104.427037,550,140.0
1588586873.179585,560,120.0
1588587646.802839,570,138.0
1588588561.557468,580,343.0
1588589552.861352,590,238.0
