Wall time,Step,Value
1589143562.661577,0,2874.0
1589143985.897873,10,2742.0
1589144573.385869,20,3154.0
1589145276.166932,30,112.0
1589146015.575893,40,34.0
1589146701.045681,50,412.0
1589147392.153746,60,3034.0
1589148197.61561,70,2563.0
1589148982.015821,80,2467.0
1589149815.347185,90,2515.0
1589150545.141023,100,2811.0
1589151294.934746,110,2639.0
1589152065.409144,120,2756.0
1589152849.156591,130,2827.0
1589153576.82026,140,2735.0
1589154354.098401,150,2542.0
1589155090.739373,160,3230.0
1589155792.466711,170,2592.0
1589156694.537851,180,3176.0
1589157597.315747,190,2675.0
1589158446.626785,200,2395.0
1589159259.576575,210,2620.0
1589160096.438072,220,2763.0
1589160896.028302,230,2646.0
1589161878.21654,240,2625.0
1589162699.854972,250,2647.0
1589163553.268821,260,1607.0
1589164369.32635,270,2029.0
1589165208.831621,280,2076.0
1589166132.900916,290,2275.0
1589167009.564645,300,2471.0
1589167971.049949,310,2463.0
1589168760.174636,320,2209.0
1589169744.101222,330,2327.0
1589170620.906927,340,2534.0
1589171455.586389,350,2473.0
1589172344.592401,360,2225.0
1589173174.618772,370,2451.0
1589174063.58732,380,2496.0
1589174979.796039,390,1613.0
1589175912.61014,400,454.0
1589176728.462639,410,1819.0
1589177542.403408,420,2104.0
1589178271.350277,430,2154.0
1589178965.786989,440,2048.0
1589179690.342348,450,2716.0
1589180292.256068,460,1474.0
1589181069.368672,470,1395.0
1589181766.118775,480,330.0
1589182443.70117,490,2026.0
1589183189.03529,500,985.0
1589183957.529073,510,1692.0
1589184628.289673,520,92.0
1589185360.892689,530,224.0
1589185997.780952,540,566.0
1589186688.848825,550,1583.0
1589187273.53367,560,67.0
1589187917.07267,570,1182.0
1589188470.897124,580,268.0
1589189079.748789,590,217.0
