Wall time,Step,Value
1588897139.754723,0,2694.0
1588898134.483591,10,2953.0
1588899381.902524,20,2537.0
1588900795.235871,30,2167.0
1588902327.586164,40,2901.0
1588904022.153358,50,2520.0
1588906083.739048,60,3058.0
1588908091.917173,70,1874.0
1588909929.152697,80,2421.0
1588912183.206995,90,2229.0
1588914703.870543,100,2554.0
1588916721.588221,110,2543.0
1588919185.57005,120,2383.0
1588921670.865158,130,2398.0
1588924321.73396,140,2501.0
1588927215.888813,150,2584.0
1588929586.698182,160,2326.0
1588932342.484223,170,2240.0
1588935483.184024,180,2809.0
1588937884.638855,190,2592.0
1588940616.167787,200,2250.0
1588943332.461584,210,2130.0
1588945864.290334,220,2260.0
1588948839.708762,230,2131.0
1588951723.172335,240,2055.0
1588954278.588308,250,2109.0
1588956849.28945,260,2140.0
1588959632.733335,270,2039.0
1588962054.940344,280,2274.0
1588964457.441549,290,2304.0
1588966745.808223,300,2197.0
1588969148.181906,310,2363.0
1588971862.977538,320,2184.0
1588974105.645996,330,1987.0
1588976426.413807,340,2126.0
1588978373.618873,350,2028.0
1588980367.21025,360,1986.0
1588982405.075921,370,2114.0
1588984555.942252,380,2059.0
1588986504.83494,390,2232.0
1588988652.036175,400,2279.0
1588990489.011269,410,2149.0
1588992220.705283,420,2195.0
1588994107.127762,430,2057.0
1588995857.205814,440,2086.0
1588997617.88902,450,1947.0
1588999148.803656,460,1934.0
1589000900.198183,470,1868.0
1589002368.377904,480,2019.0
1589004113.405946,490,1878.0
1589005820.407862,500,1924.0
1589007419.0218,510,1947.0
1589009081.721497,520,1905.0
1589010637.583622,530,2079.0
1589012261.23818,540,2185.0
1589014063.067155,550,2113.0
1589015865.714802,560,2048.0
1589017968.756276,570,2152.0
1589019780.086824,580,2043.0
1589021441.632019,590,2046.0
