Wall time,Step,Value
1588901725.216086,0,2936.0
1588902882.997767,10,2829.0
1588904603.998951,20,2626.0
1588906880.817346,30,3108.0
1588909409.724497,40,3215.0
1588912507.260474,50,3114.0
1588915155.844455,60,3063.0
1588918784.336876,70,3061.0
1588921950.674769,80,3069.0
1588924861.70769,90,3102.0
1588927697.757559,100,2949.0
1588930281.516626,110,2794.0
1588932259.904277,120,2711.0
1588934395.729621,130,2861.0
1588936676.586631,140,2897.0
1588938911.566672,150,2962.0
1588940856.911781,160,2809.0
1588942763.461916,170,2806.0
1588944652.368212,180,2850.0
1588946656.226723,190,2875.0
1588948403.444914,200,2853.0
1588950105.065006,210,2831.0
1588951874.445947,220,2764.0
1588953239.452849,230,2663.0
1588954826.227058,240,2675.0
1588956515.869111,250,2610.0
1588957991.964185,260,2584.0
1588959642.408174,270,2686.0
1588961111.545788,280,2589.0
1588962807.094701,290,2531.0
1588964695.473678,300,2631.0
1588966095.20057,310,2556.0
1588967705.543355,320,2510.0
1588969296.442981,330,2563.0
1588970816.094104,340,2492.0
1588972355.547024,350,2519.0
1588974006.534093,360,2403.0
1588975584.787738,370,2392.0
1588977302.4872,380,2469.0
1588978795.531992,390,2732.0
1588980184.491119,400,2628.0
1588981669.603476,410,2655.0
1588983426.010343,420,2388.0
1588985016.731074,430,2308.0
1588986923.630166,440,2198.0
1588988594.082506,450,2276.0
1588990064.153576,460,2242.0
1588991811.796111,470,2195.0
1588993271.061467,480,2127.0
1588994744.972884,490,2233.0
1588996170.277928,500,2194.0
1588997530.229873,510,2120.0
1588999125.001483,520,2239.0
1589000645.414019,530,2093.0
1589002252.161935,540,2174.0
1589003584.091162,550,2178.0
1589005455.551497,560,2262.0
1589006857.14537,570,2100.0
1589008253.578347,580,2073.0
1589009791.5158,590,2004.0
