Wall time,Step,Value
1588440184.480286,0,250.0
1588440495.634543,10,441.0
1588440933.732116,20,27.0
1588441401.668624,30,0.0
1588441917.556975,40,0.0
1588442516.210523,50,502.0
1588443003.490314,60,547.0
1588443759.8274,70,482.0
1588444512.657901,80,632.0
1588445243.329324,90,525.0
1588445975.380576,100,737.0
1588446649.04025,110,476.0
1588447321.285268,120,767.0
1588447930.068007,130,1093.0
1588448613.160027,140,937.0
1588449392.676618,150,952.0
1588450065.509733,160,951.0
1588450740.989823,170,893.0
1588451480.521761,180,783.0
1588452156.205547,190,1006.0
1588452802.535887,200,973.0
1588453517.716937,210,961.0
1588454130.710797,220,1335.0
1588454783.174841,230,1124.0
1588455529.586448,240,1238.0
1588456219.746949,250,1056.0
1588456928.687244,260,1078.0
1588457625.628648,270,1289.0
1588458376.219651,280,1206.0
1588459087.395451,290,1136.0
1588459823.740695,300,1155.0
1588460502.590991,310,1568.0
1588461085.632757,320,1020.0
1588461803.48047,330,1076.0
1588462503.668125,340,1080.0
1588463109.225093,350,1686.0
1588463788.644254,360,1024.0
1588464524.152875,370,1152.0
1588465238.730177,380,984.0
1588465899.980615,390,1322.0
1588466506.23276,400,1419.0
1588467182.122143,410,1345.0
1588467733.716885,420,1611.0
1588468360.706858,430,1734.0
1588469097.301144,440,1085.0
1588469711.128522,450,1056.0
1588470260.766798,460,1575.0
1588470847.351974,470,1630.0
1588471485.814044,480,1701.0
1588472019.137958,490,1748.0
1588472465.834864,500,1506.0
1588472912.647838,510,1555.0
1588473420.518008,520,1279.0
1588473941.880301,530,1663.0
1588474399.808995,540,1519.0
1588474892.029623,550,1587.0
1588475303.123377,560,1748.0
1588475788.795894,570,1563.0
1588476220.245745,580,1658.0
1588476690.930832,590,1481.0
