Wall time,Step,Value
1588440215.606315,0,9.0
1588440527.195255,10,13.0
1588440961.144437,20,0.0
1588441415.880403,30,0.0
1588441931.679498,40,0.0
1588442543.762591,50,45.0
1588443017.935535,60,33.0
1588443792.171741,70,23.0
1588444540.005514,80,19.0
1588445275.519319,90,25.0
1588446003.298254,100,42.0
1588446681.088043,110,18.0
1588447352.280261,120,74.0
1588447960.880275,130,126.0
1588448644.389767,140,44.0
1588449424.654023,150,134.0
1588450096.237369,160,105.0
1588450771.988232,170,88.0
1588451512.757232,180,51.0
1588452182.384908,190,89.0
1588452832.867641,200,98.0
1588453549.27865,210,103.0
1588454159.990657,220,90.0
1588454815.242825,230,125.0
1588455558.764481,240,176.0
1588456248.221232,250,96.0
1588456956.545611,260,106.0
1588457656.434194,270,171.0
1588458402.772033,280,139.0
1588459119.090622,290,74.0
1588459853.948411,300,89.0
1588460525.13603,310,224.0
1588461116.358728,320,56.0
1588461833.726142,330,116.0
1588462533.0063,340,113.0
1588463127.844779,350,203.0
1588463818.396274,360,83.0
1588464551.56009,370,91.0
1588465263.307568,380,114.0
1588465928.457762,390,147.0
1588466527.028895,400,136.0
1588467203.091198,410,155.0
1588467753.40468,420,203.0
1588468380.878873,430,208.0
1588469123.033832,440,95.0
1588469737.82583,450,91.0
1588470278.487718,460,184.0
1588470868.39495,470,214.0
1588471504.524842,480,208.0
1588472037.05482,490,202.0
1588472482.011153,500,166.0
1588472933.848705,510,226.0
1588473441.675238,520,151.0
1588473959.282262,530,207.0
1588474417.132095,540,193.0
1588474908.757803,550,195.0
1588475321.464463,560,245.0
1588475806.538854,570,199.0
1588476236.674549,580,190.0
1588476713.659411,590,196.0
