Wall time,Step,Value
1588440190.137768,0,221.0
1588440456.86234,10,300.0
1588440884.708387,20,93.0
1588441331.42801,30,0.0
1588441774.165082,40,0.0
1588442278.792468,50,4.0
1588442742.580419,60,0.0
1588443226.225,70,0.0
1588443685.940312,80,0.0
1588444171.59606,90,1.0
1588444691.883538,100,0.0
1588445192.395167,110,0.0
1588445665.546183,120,0.0
1588446140.89262,130,0.0
1588446617.075457,140,0.0
1588447099.429723,150,0.0
1588447595.11113,160,0.0
1588448087.488395,170,0.0
1588448583.168899,180,0.0
1588449081.093505,190,0.0
1588449605.06316,200,3.0
1588450129.408954,210,0.0
1588450633.848685,220,0.0
1588451144.745235,230,0.0
1588451638.368364,240,0.0
1588452164.436759,250,1.0
1588452665.025164,260,0.0
1588453165.819444,270,0.0
1588453672.689285,280,0.0
1588454197.525305,290,4.0
1588454709.280822,300,0.0
1588455201.361651,310,0.0
1588455705.665973,320,0.0
1588456203.48445,330,452.0
1588456680.348334,340,0.0
1588457161.285316,350,0.0
1588457631.064745,360,0.0
1588458098.853243,370,0.0
1588458554.773967,380,0.0
1588459017.057248,390,846.0
1588459492.537396,400,502.0
1588459959.864655,410,581.0
1588460424.439918,420,439.0
1588460892.107582,430,690.0
1588461358.809301,440,1113.0
1588461827.103329,450,1031.0
1588462270.161687,460,1578.0
1588462721.862349,470,1287.0
1588463159.61933,480,924.0
1588463592.353205,490,1271.0
1588464019.662376,500,1101.0
1588464463.812591,510,1559.0
1588464910.975667,520,1585.0
1588465309.330747,530,1510.0
1588465739.09106,540,1586.0
1588466173.514378,550,1598.0
1588466649.330107,560,1517.0
1588467123.467031,570,1752.0
1588467580.466246,580,1919.0
1588468011.48414,590,1733.0
