Wall time,Step,Value
1588440222.466538,0,9.0
1588440489.193949,10,13.0
1588440916.629332,20,3.0
1588441345.706228,30,0.0
1588441788.382327,40,0.0
1588442307.951074,50,3.0
1588442756.993963,60,0.0
1588443245.685505,70,0.0
1588443700.262979,80,0.0
1588444202.518785,90,1.0
1588444719.870265,100,1.0
1588445206.658282,110,0.0
1588445679.821386,120,0.0
1588446155.205652,130,0.0
1588446631.464729,140,0.0
1588447121.101837,150,0.0
1588447621.093551,160,0.0
1588448101.787273,170,0.0
1588448597.472437,180,0.0
1588449095.691701,190,0.0
1588449628.831565,200,0.0
1588450143.818365,210,0.0
1588450648.227959,220,0.0
1588451159.100984,230,0.0
1588451652.7464,240,0.0
1588452186.211626,250,0.0
1588452679.465537,260,0.0
1588453180.382294,270,0.0
1588453689.695758,280,0.0
1588454214.878638,290,0.0
1588454723.883994,300,0.0
1588455215.617932,310,0.0
1588455719.571601,320,0.0
1588456218.865009,330,65.0
1588456694.338408,340,0.0
1588457175.359926,350,0.0
1588457645.049926,360,0.0
1588458112.987481,370,0.0
1588458568.820443,380,0.0
1588459031.558144,390,29.0
1588459508.937019,400,99.0
1588459976.140097,410,96.0
1588460439.262595,420,48.0
1588460907.577222,430,72.0
1588461375.437073,440,121.0
1588461843.306355,450,104.0
1588462288.685964,460,197.0
1588462740.085594,470,146.0
1588463175.467814,480,123.0
1588463609.275514,490,141.0
1588464037.551634,500,159.0
1588464481.083929,510,170.0
1588464928.880655,520,181.0
1588465326.811148,530,188.0
1588465757.756973,540,218.0
1588466194.309597,550,208.0
1588466676.645144,560,178.0
1588467146.107726,570,256.0
1588467602.397264,580,269.0
1588468032.327244,590,238.0
