Wall time,Step,Value
1588440191.100237,0,782.0
1588440645.457028,10,46.0
1588441308.593194,20,1147.0
1588442013.772706,30,599.0
1588442681.965256,40,753.0
1588443389.070602,50,557.0
1588444109.131854,60,678.0
1588444802.687913,70,660.0
1588445478.321134,80,837.0
1588446109.303964,90,754.0
1588446863.896946,100,465.0
1588447619.350168,110,1301.0
1588448297.278662,120,1222.0
1588448944.670047,130,1746.0
1588449584.867991,140,517.0
1588450311.024302,150,797.0
1588450922.591073,160,1472.0
1588451550.464281,170,1176.0
1588452081.560031,180,1622.0
1588452649.239969,190,1692.0
1588453090.309065,200,1763.0
1588453557.803117,210,1514.0
1588453991.799672,220,1820.0
1588454504.780224,230,1877.0
1588454998.743046,240,1593.0
1588455613.043747,250,1030.0
1588456123.955635,260,1713.0
1588456528.375531,270,1514.0
1588456984.092546,280,1725.0
1588457408.54708,290,1616.0
1588457806.776764,300,1747.0
1588458241.774292,310,1605.0
1588458759.6511,320,1916.0
1588459250.82493,330,1925.0
1588459672.16986,340,1344.0
1588460201.978624,350,1303.0
1588460697.441876,360,1487.0
1588461196.06532,370,1676.0
1588461683.119618,380,1300.0
1588462114.504155,390,1534.0
1588462493.800667,400,1508.0
1588462917.644994,410,1540.0
1588463426.033646,420,1580.0
1588463879.589385,430,1592.0
1588464388.633403,440,1401.0
1588464849.635674,450,1546.0
1588465380.983714,460,1740.0
1588465952.163353,470,1318.0
1588466510.654351,480,1357.0
1588467045.738793,490,1538.0
1588467563.153423,500,1353.0
1588468109.653766,510,1467.0
1588468656.749982,520,1712.0
1588469125.140122,530,1628.0
1588469598.357724,540,1642.0
1588470110.123867,550,1728.0
1588470549.36708,560,1570.0
1588471077.206131,570,1503.0
1588471539.186687,580,1680.0
1588472012.708813,590,1721.0
