Wall time,Step,Value
1588440224.457043,0,40.0
1588440659.85566,10,0.0
1588441324.1511,20,90.0
1588442047.823273,30,11.0
1588442714.855918,40,21.0
1588443423.129998,50,13.0
1588444142.864642,60,35.0
1588444836.362145,70,45.0
1588445507.492596,80,103.0
1588446142.718365,90,33.0
1588446894.703752,100,39.0
1588447648.214607,110,128.0
1588448330.728849,120,75.0
1588448962.383845,130,183.0
1588449618.751869,140,22.0
1588450341.799947,150,35.0
1588450939.449146,160,132.0
1588451579.975555,170,107.0
1588452112.275067,180,147.0
1588452674.770139,190,229.0
1588453109.156985,200,217.0
1588453574.501852,210,177.0
1588454010.917783,220,217.0
1588454523.920893,230,240.0
1588455020.960408,240,223.0
1588455646.814067,250,76.0
1588456142.218552,260,230.0
1588456544.684512,270,165.0
1588457005.386249,280,242.0
1588457427.839958,290,224.0
1588457828.110658,300,257.0
1588458260.14994,310,196.0
1588458784.608684,320,267.0
1588459270.857526,330,248.0
1588459688.716041,340,125.0
1588460217.317653,350,95.0
1588460714.118439,360,146.0
1588461216.661125,370,250.0
1588461698.660845,380,101.0
1588462131.289177,390,158.0
1588462510.361909,400,168.0
1588462934.073558,410,173.0
1588463443.668649,420,187.0
1588463897.349025,430,178.0
1588464406.617708,440,175.0
1588464867.841784,450,202.0
1588465401.110016,460,223.0
1588465972.723865,470,186.0
1588466529.726004,480,184.0
1588467065.598554,490,212.0
1588467583.940536,500,213.0
1588468129.974959,510,197.0
1588468675.691549,520,216.0
1588469144.21957,530,210.0
1588469616.767686,540,200.0
1588470128.144402,550,201.0
1588470567.977497,560,182.0
1588471095.464559,570,197.0
1588471557.498646,580,201.0
1588472030.884504,590,215.0
