Wall time,Step,Value
1588440171.428782,0,806.0
1588440430.557002,10,0.0
1588440812.082727,20,0.0
1588441201.490197,30,0.0
1588441609.091612,40,0.0
1588442011.141413,50,0.0
1588442415.635221,60,0.0
1588442815.890557,70,0.0
1588443237.760236,80,0.0
1588443676.491363,90,0.0
1588444102.237725,100,0.0
1588444515.788601,110,0.0
1588444919.40163,120,0.0
1588445315.008786,130,0.0
1588445719.600642,140,0.0
1588446109.48904,150,0.0
1588446462.493378,160,0.0
1588446812.430098,170,0.0
1588447151.786539,180,759.0
1588447464.753016,190,992.0
1588447777.173449,200,1594.0
1588448142.70801,210,1498.0
1588448496.753264,220,1653.0
1588448822.615226,230,1347.0
1588449150.021424,240,1576.0
1588449487.344256,250,1607.0
1588449856.566262,260,1667.0
1588450216.189074,270,1740.0
1588450594.211405,280,1822.0
1588450938.898676,290,1540.0
1588451296.329496,300,1710.0
1588451664.951707,310,1709.0
1588452011.125626,320,1576.0
1588452357.870274,330,1722.0
1588452702.786154,340,1690.0
1588453060.513853,350,1463.0
1588453402.475885,360,1758.0
1588453758.255582,370,1753.0
1588454100.744845,380,1764.0
1588454470.466263,390,1861.0
1588454842.504834,400,1624.0
1588455188.498063,410,1752.0
1588455559.306828,420,1400.0
1588455930.309001,430,1738.0
1588456309.999173,440,1635.0
1588456695.735742,450,1798.0
1588457057.703851,460,1723.0
1588457443.545236,470,1693.0
1588457827.617775,480,1674.0
1588458208.843582,490,1732.0
1588458582.31694,500,1791.0
1588458953.824571,510,1736.0
1588459333.569419,520,1889.0
1588459712.871697,530,1592.0
1588460092.591162,540,1746.0
1588460467.40104,550,1547.0
1588460845.308614,560,1772.0
1588461236.311288,570,1716.0
1588461614.671039,580,1545.0
1588461969.022253,590,1799.0
