Wall time,Step,Value
1588440201.097945,0,49.0
1588440443.478914,10,0.0
1588440824.996758,20,0.0
1588441214.420524,30,0.0
1588441621.996923,40,0.0
1588442024.088084,50,0.0
1588442428.570038,60,0.0
1588442828.820104,70,0.0
1588443250.411298,80,0.0
1588443689.133275,90,0.0
1588444114.882624,100,0.0
1588444528.413569,110,0.0
1588444932.103163,120,0.0
1588445327.760684,130,0.0
1588445732.25521,140,0.0
1588446122.134598,150,0.0
1588446475.139371,160,0.0
1588446825.071595,170,0.0
1588447164.959856,180,64.0
1588447477.925917,190,51.0
1588447793.179933,200,191.0
1588448157.650403,210,146.0
1588448513.370891,220,193.0
1588448837.202825,230,113.0
1588449165.882633,240,173.0
1588449502.810904,250,168.0
1588449873.295892,260,193.0
1588450233.250846,270,203.0
1588450611.441298,280,225.0
1588450954.426819,290,166.0
1588451313.946578,300,212.0
1588451683.607227,310,226.0
1588452029.047328,320,216.0
1588452375.854413,330,227.0
1588452721.808355,340,230.0
1588453080.192895,350,215.0
1588453421.487743,360,253.0
1588453776.531488,370,234.0
1588454118.902849,380,258.0
1588454489.584438,390,264.0
1588454862.350302,400,223.0
1588455207.815929,410,233.0
1588455580.227978,420,214.0
1588455950.497313,430,247.0
1588456330.024034,440,227.0
1588456714.361435,450,234.0
1588457075.339321,460,213.0
1588457462.294129,470,225.0
1588457848.839312,480,243.0
1588458228.661613,490,252.0
1588458602.697707,500,229.0
1588458974.219505,510,244.0
1588459353.569482,520,268.0
1588459735.483925,530,241.0
1588460112.094477,540,247.0
1588460487.922435,550,232.0
1588460866.797754,560,250.0
1588461257.491112,570,245.0
1588461636.878669,580,234.0
1588461988.205975,590,256.0
