Wall time,Step,Value
1588440184.480572,0,3176.0
1588440495.634802,10,2988.0
1588440933.732401,20,2991.0
1588441401.668891,30,0.0
1588441917.55725,40,0.0
1588442516.210781,50,1690.0
1588443003.490587,60,0.0
1588443759.827677,70,2946.0
1588444512.658162,80,2671.0
1588445243.329602,90,2850.0
1588445975.380835,100,2421.0
1588446649.04053,110,2904.0
1588447321.28554,120,2612.0
1588447930.068293,130,2088.0
1588448613.160313,140,2510.0
1588449392.676885,150,2384.0
1588450065.509988,160,2430.0
1588450740.990085,170,2544.0
1588451480.522019,180,2651.0
1588452156.205804,190,1704.0
1588452802.53615,200,2257.0
1588453517.7172,210,2384.0
1588454130.71106,220,1144.0
1588454783.175103,230,2111.0
1588455529.586743,240,1933.0
1588456219.747242,250,2014.0
1588456928.687521,260,2150.0
1588457625.628904,270,1886.0
1588458376.219905,280,1804.0
1588459087.395701,290,2085.0
1588459823.740952,300,1956.0
1588460502.591284,310,570.0
1588461085.63301,320,2170.0
1588461803.480741,330,2049.0
1588462503.66841,340,1838.0
1588463109.225379,350,387.0
1588463788.644525,360,2163.0
1588464524.153129,370,1798.0
1588465238.730459,380,1762.0
1588465899.98088,390,1554.0
1588466506.233018,400,783.0
1588467182.122419,410,609.0
1588467733.717142,420,533.0
1588468360.707102,430,379.0
1588469097.301422,440,1504.0
1588469711.128769,450,1899.0
1588470260.767051,460,367.0
1588470847.352233,470,560.0
1588471485.814313,480,387.0
1588472019.138206,490,264.0
1588472465.835124,500,242.0
1588472912.648079,510,838.0
1588473420.518273,520,1076.0
1588473941.880544,530,323.0
1588474399.809248,540,400.0
1588474892.029866,550,283.0
1588475303.123619,560,315.0
1588475788.796137,570,354.0
1588476220.245982,580,166.0
1588476690.931068,590,961.0
