Wall time,Step,Value
1588440215.606595,0,641.0
1588440527.195559,10,637.0
1588440961.144712,20,509.0
1588441415.880667,30,0.0
1588441931.679753,40,0.0
1588442543.76285,50,496.0
1588443017.935802,60,0.0
1588443792.171998,70,630.0
1588444540.005772,80,494.0
1588445275.519575,90,613.0
1588446003.298535,100,488.0
1588446681.088327,110,633.0
1588447352.280542,120,581.0
1588447960.880557,130,528.0
1588448644.390025,140,608.0
1588449424.654309,150,519.0
1588450096.237646,160,548.0
1588450771.988518,170,566.0
1588451512.757498,180,599.0
1588452182.385166,190,320.0
1588452832.8679,200,495.0
1588453549.278908,210,552.0
1588454159.990914,220,535.0
1588454815.24308,230,526.0
1588455558.764769,240,406.0
1588456248.221513,250,391.0
1588456956.545865,260,461.0
1588457656.434456,270,486.0
1588458402.772314,280,332.0
1588459119.090875,290,578.0
1588459853.948686,300,470.0
1588460525.136304,310,111.0
1588461116.358977,320,565.0
1588461833.726428,330,492.0
1588462533.006574,340,471.0
1588463127.845031,350,16.0
1588463818.396548,360,530.0
1588464551.560372,370,472.0
1588465263.307821,380,255.0
1588465928.458019,390,444.0
1588466527.02915,400,115.0
1588467203.091474,410,106.0
1588467753.404935,420,54.0
1588468380.879124,430,50.0
1588469123.034087,440,346.0
1588469737.826075,450,382.0
1588470278.487969,460,39.0
1588470868.395224,470,76.0
1588471504.525094,480,15.0
1588472037.055068,490,15.0
1588472482.011408,500,5.0
1588472933.848947,510,94.0
1588473441.675484,520,161.0
1588473959.2825,530,15.0
1588474417.132349,540,8.0
1588474908.758044,550,5.0
1588475321.464717,560,12.0
1588475806.539094,570,21.0
1588476236.674791,580,3.0
1588476713.659649,590,171.0
