Wall time,Step,Value
1588440190.138034,0,3205.0
1588440456.86262,10,3124.0
1588440884.708665,20,2866.0
1588441331.428288,30,0.0
1588441774.165363,40,0.0
1588442278.792755,50,1926.0
1588442742.580678,60,0.0
1588443226.225299,70,589.0
1588443685.940593,80,0.0
1588444171.596342,90,994.0
1588444691.8838,100,1380.0
1588445192.395436,110,0.0
1588445665.546469,120,0.0
1588446140.892873,130,0.0
1588446617.075733,140,0.0
1588447099.429988,150,280.0
1588447595.111429,160,911.0
1588448087.488654,170,0.0
1588448583.169158,180,0.0
1588449081.093763,190,0.0
1588449605.06346,200,1386.0
1588450129.409217,210,0.0
1588450633.848946,220,0.0
1588451144.745512,230,0.0
1588451638.36864,240,0.0
1588452164.437024,250,995.0
1588452665.025444,260,0.0
1588453165.819708,270,0.0
1588453672.689571,280,306.0
1588454197.525581,290,380.0
1588454709.281087,300,0.0
1588455201.361909,310,0.0
1588455705.666258,320,0.0
1588456203.484718,330,42.0
1588456680.348599,340,0.0
1588457161.285581,350,0.0
1588457631.064993,360,0.0
1588458098.853519,370,0.0
1588458554.774239,380,0.0
1588459017.057524,390,26.0
1588459492.537667,400,3.0
1588459959.864923,410,7.0
1588460424.440193,420,5.0
1588460892.107839,430,11.0
1588461358.809561,440,6.0
1588461827.103589,450,8.0
1588462270.161941,460,72.0
1588462721.862622,470,117.0
1588463159.619587,480,8.0
1588463592.353469,490,102.0
1588464019.66263,500,48.0
1588464463.812849,510,24.0
1588464910.975928,520,63.0
1588465309.331002,530,69.0
1588465739.091352,540,193.0
1588466173.514652,550,377.0
1588466649.33039,560,1117.0
1588467123.467314,570,546.0
1588467580.466531,580,309.0
1588468011.484421,590,416.0
