Wall time,Step,Value
1588440222.466804,0,641.0
1588440489.194231,10,637.0
1588440916.629614,20,647.0
1588441345.706495,30,0.0
1588441788.382586,40,0.0
1588442307.951365,50,527.0
1588442756.994263,60,0.0
1588443245.685772,70,197.0
1588443700.263264,80,0.0
1588444202.519044,90,608.0
1588444719.870556,100,498.0
1588445206.658576,110,0.0
1588445679.821658,120,0.0
1588446155.205922,130,0.0
1588446631.464996,140,0.0
1588447121.1021,150,253.0
1588447621.093818,160,431.0
1588448101.787547,170,0.0
1588448597.472709,180,0.0
1588449095.691976,190,0.0
1588449628.831831,200,347.0
1588450143.818639,210,0.0
1588450648.228246,220,0.0
1588451159.10126,230,0.0
1588451652.746666,240,0.0
1588452186.211888,250,267.0
1588452679.465798,260,0.0
1588453180.382574,270,0.0
1588453689.696018,280,96.0
1588454214.878902,290,102.0
1588454723.884275,300,0.0
1588455215.618219,310,0.0
1588455719.571855,320,0.0
1588456218.865288,330,2.0
1588456694.338661,340,0.0
1588457175.360176,350,0.0
1588457645.050172,360,0.0
1588458112.987743,370,0.0
1588458568.820709,380,0.0
1588459031.558409,390,3.0
1588459508.937303,400,0.0
1588459976.140383,410,0.0
1588460439.262844,420,1.0
1588460907.577478,430,0.0
1588461375.437353,440,0.0
1588461843.306623,450,1.0
1588462288.686254,460,0.0
1588462740.085861,470,10.0
1588463175.468065,480,0.0
1588463609.275782,490,2.0
1588464037.551891,500,27.0
1588464481.084212,510,3.0
1588464928.880904,520,3.0
1588465326.811421,530,0.0
1588465757.757261,540,1.0
1588466194.309853,550,45.0
1588466676.645433,560,309.0
1588467146.10798,570,53.0
1588467602.397536,580,29.0
1588468032.327521,590,31.0
