Wall time,Step,Value
1588440191.100525,0,2657.0
1588440645.457326,10,0.0
1588441308.593478,20,1.0
1588442013.772976,30,2828.0
1588442681.965537,40,2552.0
1588443389.070865,50,2871.0
1588444109.132112,60,2742.0
1588444802.688173,70,2768.0
1588445478.321425,80,2079.0
1588446109.304239,90,2679.0
1588446863.897234,100,2792.0
1588447619.350455,110,1478.0
1588448297.278927,120,2036.0
1588448944.670316,130,47.0
1588449584.868274,140,2911.0
1588450311.024586,150,2179.0
1588450922.591379,160,44.0
1588451550.464542,170,1365.0
1588452081.560304,180,1293.0
1588452649.240254,190,681.0
1588453090.309356,200,188.0
1588453557.803403,210,7.0
1588453991.799931,220,164.0
1588454504.780507,230,179.0
1588454998.743333,240,428.0
1588455613.04401,250,2291.0
1588456123.955885,260,189.0
1588456528.375779,270,7.0
1588456984.092798,280,600.0
1588457408.547353,290,457.0
1588457806.77702,300,504.0
1588458241.774546,310,307.0
1588458759.651366,320,521.0
1588459250.825182,330,172.0
1588459672.170121,340,137.0
1588460201.978876,350,22.0
1588460697.442129,360,131.0
1588461196.065598,370,538.0
1588461683.119873,380,56.0
1588462114.504425,390,135.0
1588462493.800922,400,67.0
1588462917.645256,410,76.0
1588463426.033896,420,250.0
1588463879.589651,430,177.0
1588464388.63368,440,453.0
1588464849.635929,450,354.0
1588465380.983975,460,297.0
1588465952.163625,470,763.0
1588466510.654622,480,520.0
1588467045.739047,490,532.0
1588467563.153694,500,754.0
1588468109.654028,510,556.0
1588468656.750254,520,308.0
1588469125.140406,530,351.0
1588469598.357966,540,243.0
1588470110.124113,550,119.0
1588470549.367342,560,309.0
1588471077.206419,570,420.0
1588471539.186929,580,261.0
1588472012.709067,590,211.0
