Wall time,Step,Value
1588440224.457329,0,611.0
1588440659.855918,10,0.0
1588441324.151371,20,0.0
1588442047.823561,30,639.0
1588442714.856177,40,630.0
1588443423.130286,50,637.0
1588444142.864903,60,615.0
1588444836.362435,70,606.0
1588445507.492857,80,345.0
1588446142.718646,90,618.0
1588446894.704015,100,493.0
1588447648.214868,110,345.0
1588448330.729107,120,577.0
1588448962.384106,130,6.0
1588449618.75213,140,628.0
1588450341.800233,150,461.0
1588450939.44944,160,22.0
1588451579.975815,170,520.0
1588452112.275353,180,502.0
1588452674.770428,190,125.0
1588453109.157267,200,33.0
1588453574.502113,210,0.0
1588454010.918046,220,45.0
1588454523.92116,230,28.0
1588455020.960686,240,62.0
1588455646.814357,250,576.0
1588456142.218798,260,1.0
1588456544.684761,270,0.0
1588457005.386528,280,64.0
1588457427.840244,290,29.0
1588457828.110914,300,43.0
1588458260.1502,310,29.0
1588458784.608937,320,101.0
1588459270.857782,330,17.0
1588459688.716318,340,0.0
1588460217.317908,350,0.0
1588460714.118695,360,0.0
1588461216.661393,370,19.0
1588461698.661099,380,0.0
1588462131.289458,390,0.0
1588462510.362164,400,0.0
1588462934.073825,410,0.0
1588463443.668918,420,2.0
1588463897.349301,430,1.0
1588464406.617962,440,10.0
1588464867.842045,450,5.0
1588465401.110296,460,14.0
1588465972.72412,470,46.0
1588466529.726301,480,20.0
1588467065.598802,490,22.0
1588467583.940792,500,37.0
1588468129.975231,510,32.0
1588468675.691792,520,13.0
1588469144.219809,530,13.0
1588469616.767922,540,7.0
1588470128.144665,550,3.0
1588470567.977736,560,6.0
1588471095.464807,570,14.0
1588471557.498889,580,9.0
1588472030.884743,590,2.0
