Wall time,Step,Value
1588440171.429053,0,2623.0
1588440430.557256,10,0.0
1588440812.082972,20,0.0
1588441201.490442,30,0.0
1588441609.091856,40,0.0
1588442011.141661,50,0.0
1588442415.635465,60,0.0
1588442815.890808,70,10.0
1588443237.76047,80,0.0
1588443676.491598,90,0.0
1588444102.237965,100,0.0
1588444515.788837,110,0.0
1588444919.401866,120,0.0
1588445315.009019,130,0.0
1588445719.600877,140,0.0
1588446109.489289,150,0.0
1588446462.49361,160,0.0
1588446812.430337,170,0.0
1588447151.786775,180,0.0
1588447464.753264,190,0.0
1588447777.173691,200,166.0
1588448142.708262,210,65.0
1588448496.753504,220,90.0
1588448822.615467,230,7.0
1588449150.021666,240,35.0
1588449487.344497,250,6.0
1588449856.566504,260,41.0
1588450216.189323,270,46.0
1588450594.211648,280,67.0
1588450938.89891,290,6.0
1588451296.329737,300,186.0
1588451664.951947,310,275.0
1588452011.12587,320,263.0
1588452357.870517,330,185.0
1588452702.786402,340,255.0
1588453060.514104,350,749.0
1588453402.476158,360,211.0
1588453758.255822,370,190.0
1588454100.745086,380,250.0
1588454470.466503,390,193.0
1588454842.505075,400,481.0
1588455188.49832,410,333.0
1588455559.307084,420,889.0
1588455930.309261,430,464.0
1588456309.999419,440,585.0
1588456695.735986,450,256.0
1588457057.704098,460,207.0
1588457443.545481,470,329.0
1588457827.618016,480,568.0
1588458208.843823,490,424.0
1588458582.317197,500,335.0
1588458953.824811,510,450.0
1588459333.569661,520,200.0
1588459712.871938,530,744.0
1588460092.591408,540,378.0
1588460467.4013,550,662.0
1588460845.308856,560,466.0
1588461236.31153,570,513.0
1588461614.671303,580,796.0
1588461969.022493,590,213.0
