Wall time,Step,Value
1588440201.098205,0,601.0
1588440443.479175,10,0.0
1588440824.996998,20,0.0
1588441214.42077,30,0.0
1588441621.997175,40,0.0
1588442024.088337,50,0.0
1588442428.57029,60,0.0
1588442828.820353,70,0.0
1588443250.411533,80,0.0
1588443689.133515,90,0.0
1588444114.88286,100,0.0
1588444528.413804,110,0.0
1588444932.1034,120,0.0
1588445327.76093,130,0.0
1588445732.255445,140,0.0
1588446122.134836,150,0.0
1588446475.139604,160,0.0
1588446825.07183,170,0.0
1588447164.960088,180,0.0
1588447477.926163,190,0.0
1588447793.18018,200,1.0
1588448157.650641,210,0.0
1588448513.371139,220,8.0
1588448837.20306,230,0.0
1588449165.882868,240,0.0
1588449502.81115,250,0.0
1588449873.296144,260,3.0
1588450233.251081,270,0.0
1588450611.441537,280,6.0
1588450954.427054,290,0.0
1588451313.946814,300,7.0
1588451683.607469,310,28.0
1588452029.047569,320,11.0
1588452375.854646,330,4.0
1588452721.808597,340,24.0
1588453080.193141,350,51.0
1588453421.487986,360,9.0
1588453776.531723,370,4.0
1588454118.903086,380,0.0
1588454489.584675,390,10.0
1588454862.350546,400,47.0
1588455207.816195,410,25.0
1588455580.228238,420,87.0
1588455950.497557,430,42.0
1588456330.024287,440,49.0
1588456714.361678,450,13.0
1588457075.33956,460,8.0
1588457462.294375,470,17.0
1588457848.839553,480,58.0
1588458228.66185,490,28.0
1588458602.697943,500,46.0
1588458974.219741,510,41.0
1588459353.569724,520,16.0
1588459735.484176,530,98.0
1588460112.094719,540,26.0
1588460487.922676,550,58.0
1588460866.797994,560,62.0
1588461257.491361,570,60.0
1588461636.878911,580,93.0
1588461988.206228,590,9.0
