Wall time,Step,Value
1588477302.97016,0,51.0
1588478066.960891,10,83.0
1588479133.265204,20,98.0
1588480263.196047,30,17.0
1588481515.037636,40,568.0
1588482816.354075,50,175.0
1588483910.25187,60,23.0
1588485007.595182,70,349.0
1588486284.187574,80,311.0
1588487401.321266,90,357.0
1588488669.462948,100,408.0
1588489739.516608,110,238.0
1588490854.053374,120,402.0
1588492111.960686,130,399.0
1588493179.316442,140,565.0
1588494468.333252,150,261.0
1588495593.339953,160,533.0
1588496886.652583,170,346.0
1588498115.458439,180,673.0
1588499299.705293,190,560.0
1588500532.369134,200,513.0
1588501744.975351,210,566.0
1588502756.232246,220,844.0
1588504037.571912,230,783.0
1588505338.742624,240,760.0
1588506633.715747,250,738.0
1588507917.695625,260,558.0
1588509123.81653,270,597.0
1588510419.781469,280,839.0
1588511620.077776,290,396.0
1588512997.905058,300,780.0
1588514253.320447,310,633.0
1588515239.460222,320,950.0
1588516465.358698,330,911.0
1588517678.612241,340,672.0
1588518756.727694,350,611.0
1588519968.950319,360,942.0
1588521021.683753,370,1208.0
1588522160.924711,380,902.0
1588523354.719212,390,1458.0
1588524513.351562,400,1171.0
1588525732.541784,410,789.0
1588526794.186507,420,1021.0
1588527811.633826,430,916.0
1588528777.76487,440,1073.0
1588529855.504793,450,1527.0
1588530864.455192,460,1371.0
1588531846.883348,470,1266.0
1588532707.661515,480,1356.0
1588533706.317155,490,1416.0
1588534616.114053,500,903.0
1588535550.362453,510,1468.0
1588536337.195332,520,1367.0
1588537208.137272,530,1387.0
1588538155.062866,540,1459.0
1588538937.78419,550,1408.0
1588539731.19275,560,1370.0
1588540591.853522,570,1208.0
1588541362.198057,580,1286.0
1588542102.276516,590,1418.0
