Wall time,Step,Value
1588542096.72193,0,396.0
1588542603.005645,10,311.0
1588543198.859229,20,14.0
1588543951.055464,30,75.0
1588544549.739091,40,9.0
1588545327.315643,50,18.0
1588546138.621979,60,134.0
1588546973.253845,70,756.0
1588547794.628205,80,665.0
1588548624.504141,90,568.0
1588549448.269083,100,812.0
1588550257.633632,110,783.0
1588551096.285425,120,605.0
1588551916.396343,130,1062.0
1588552676.904277,140,586.0
1588553535.86565,150,906.0
1588554366.314234,160,661.0
1588555322.92562,170,590.0
1588556261.401109,180,780.0
1588557002.309792,190,724.0
1588557851.930758,200,571.0
1588558649.690093,210,1030.0
1588559511.216247,220,694.0
1588560386.323828,230,644.0
1588561358.992917,240,1057.0
1588562272.451968,250,997.0
1588563296.54418,260,750.0
1588564317.084596,270,994.0
1588565274.050308,280,467.0
1588566092.580545,290,513.0
1588567039.956873,300,865.0
1588568032.514085,310,362.0
1588568797.986544,320,922.0
1588569580.113604,330,772.0
1588570366.140692,340,1110.0
1588571349.854834,350,748.0
1588572340.980992,360,907.0
1588573255.399844,370,1092.0
1588574046.376891,380,729.0
1588574839.396121,390,930.0
1588575698.621009,400,955.0
1588576442.312583,410,1457.0
1588577292.648923,420,1184.0
1588578097.362646,430,1157.0
1588578786.760791,440,1047.0
1588579517.34488,450,1104.0
1588580141.906746,460,1372.0
1588580822.88513,470,1472.0
1588581452.562277,480,1160.0
1588582039.455955,490,1531.0
1588582708.312522,500,1147.0
1588583293.331037,510,1126.0
1588583838.323422,520,1623.0
1588584327.613782,530,1517.0
1588584824.048519,540,1299.0
1588585398.175978,550,1447.0
1588585847.550394,560,1448.0
1588586391.020364,570,1389.0
1588586819.370864,580,1437.0
1588587209.184369,590,1377.0
