Wall time,Step,Value
1588472592.17428,0,99.0
1588472984.064281,10,96.0
1588473488.567006,20,24.0
1588474092.26897,30,555.0
1588474596.192252,40,575.0
1588475186.596484,50,604.0
1588475748.571301,60,206.0
1588476272.496428,70,527.0
1588476875.375476,80,489.0
1588477538.672605,90,998.0
1588478051.290101,100,432.0
1588478627.275651,110,658.0
1588479183.519639,120,577.0
1588479805.319192,130,683.0
1588480322.033179,140,378.0
1588480928.184101,150,538.0
1588481562.509786,160,568.0
1588482143.545899,170,857.0
1588482858.308625,180,668.0
1588483469.839361,190,1017.0
1588484116.914933,200,1119.0
1588484821.204978,210,852.0
1588485517.634451,220,935.0
1588486104.379238,230,543.0
1588486801.235139,240,708.0
1588487512.526872,250,675.0
1588488278.951417,260,650.0
1588488939.482606,270,771.0
1588489698.73363,280,747.0
1588490411.882063,290,700.0
1588491040.865292,300,601.0
1588491711.235511,310,674.0
1588492409.443052,320,841.0
1588493097.075215,330,1006.0
1588493781.84899,340,1001.0
1588494484.4687,350,691.0
1588495162.067134,360,905.0
1588495823.214915,370,993.0
1588496504.072605,380,803.0
1588497127.068635,390,1237.0
1588497833.0568,400,903.0
1588498627.953051,410,1522.0
1588499270.768544,420,1463.0
1588499910.083109,430,1193.0
1588500589.862261,440,1641.0
1588501137.347737,450,1047.0
1588501663.459684,460,1518.0
1588502261.753031,470,1361.0
1588502832.743868,480,1004.0
1588503242.130894,490,1517.0
1588503661.389875,500,1528.0
1588504173.554363,510,1033.0
1588504559.681436,520,1621.0
1588505042.374443,530,1373.0
1588505446.453219,540,1457.0
1588505945.184484,550,1395.0
1588506387.818887,560,1434.0
1588506745.879989,570,1510.0
1588507149.230136,580,1468.0
1588507535.449175,590,1440.0
