Wall time,Step,Value
1588542049.720102,0,260.0
1588542401.71945,10,294.0
1588542860.617707,20,197.0
1588543411.99036,30,61.0
1588543930.661821,40,96.0
1588544443.966191,50,2.0
1588545018.908856,60,186.0
1588545548.964958,70,84.0
1588546176.258353,80,222.0
1588546728.081162,90,416.0
1588547230.482268,100,870.0
1588547774.662455,110,725.0
1588548356.755926,120,638.0
1588548885.690021,130,210.0
1588549491.650173,140,606.0
1588550200.429066,150,685.0
1588550800.07198,160,657.0
1588551450.592436,170,448.0
1588552044.738275,180,503.0
1588552651.855326,190,478.0
1588553274.187906,200,297.0
1588553839.839283,210,353.0
1588554387.305336,220,479.0
1588555085.727357,230,523.0
1588555622.030591,240,640.0
1588556247.993747,250,529.0
1588556926.3367,260,647.0
1588557589.700219,270,564.0
1588558208.130998,280,570.0
1588558833.535977,290,626.0
1588559356.68199,300,357.0
1588560005.613237,310,507.0
1588560626.408994,320,413.0
1588561254.35837,330,480.0
1588561889.140853,340,556.0
1588562457.26326,350,554.0
1588563130.726039,360,481.0
1588563737.269822,370,524.0
1588564365.993356,380,528.0
1588564934.743465,390,882.0
1588565595.397065,400,347.0
1588566195.405155,410,400.0
1588566906.017119,420,927.0
1588567389.647968,430,888.0
1588567928.454908,440,882.0
1588568472.075686,450,699.0
1588568995.83189,460,771.0
1588569576.886408,470,787.0
1588570036.384605,480,1006.0
1588570504.372605,490,310.0
1588570955.90406,500,571.0
1588571478.570815,510,642.0
1588571968.591605,520,648.0
1588572438.208034,530,708.0
1588572857.531461,540,715.0
1588573287.318381,550,827.0
1588573779.177936,560,777.0
1588574160.344307,570,914.0
1588574633.218376,580,867.0
1588575070.88652,590,556.0
