Wall time,Step,Value
1588863445.670992,0,147.0
1588863678.869708,10,199.0
1588864144.764971,20,3.0
1588864618.142676,30,555.0
1588865227.549427,40,645.0
1588865889.917852,50,756.0
1588866471.485645,60,131.0
1588867155.166855,70,634.0
1588867771.254122,80,782.0
1588868289.456969,90,1046.0
1588868875.517221,100,972.0
1588869500.596191,110,874.0
1588870156.068761,120,996.0
1588870875.898845,130,1076.0
1588871572.531969,140,572.0
1588872108.134381,150,999.0
1588872795.312479,160,1006.0
1588873531.23729,170,887.0
1588874272.521167,180,188.0
1588874921.110286,190,52.0
1588875483.027032,200,316.0
1588876138.430491,210,132.0
1588876767.723459,220,250.0
1588877413.129402,230,316.0
1588878088.481072,240,521.0
1588878747.964472,250,575.0
1588879408.813563,260,760.0
1588880105.928559,270,893.0
1588880742.520937,280,1020.0
1588881392.897925,290,999.0
1588882084.74069,300,1077.0
1588882829.28219,310,1131.0
1588883491.767699,320,1094.0
1588884135.463387,330,1149.0
1588884805.393591,340,1121.0
1588885504.66794,350,1074.0
1588886099.519123,360,1061.0
1588886865.157131,370,1116.0
1588887624.560435,380,1120.0
1588888293.169296,390,1172.0
1588888931.418687,400,1285.0
1588889634.282856,410,1206.0
1588890377.990641,420,1272.0
1588890970.758693,430,1420.0
1588891729.181018,440,1298.0
1588892421.525334,450,1347.0
1588892976.623303,460,1368.0
1588893593.493087,470,1431.0
1588894300.205607,480,1285.0
1588894983.776873,490,1125.0
1588895583.082332,500,1425.0
1588896182.244561,510,1539.0
1588896777.174746,520,1449.0
1588897377.482113,530,1467.0
1588898035.323568,540,1467.0
1588898677.402477,550,1441.0
1588899303.700461,560,1475.0
1588899864.704665,570,1628.0
1588900505.1865,580,1574.0
1588901118.402873,590,1625.0
