Wall time,Step,Value
1588477302.970445,0,3050.0
1588478066.961162,10,3019.0
1588479133.265494,20,2747.0
1588480263.19632,30,1903.0
1588481515.038055,40,2086.0
1588482816.354342,50,2671.0
1588483910.252134,60,2787.0
1588485007.595457,70,2761.0
1588486284.187841,80,2794.0
1588487401.321542,90,2682.0
1588488669.463215,100,2623.0
1588489739.516874,110,2857.0
1588490854.053651,120,2647.0
1588492111.960954,130,2715.0
1588493179.316716,140,1641.0
1588494468.33353,150,2700.0
1588495593.340219,160,2503.0
1588496886.652864,170,2765.0
1588498115.458691,180,2432.0
1588499299.705558,190,2564.0
1588500532.369385,200,2575.0
1588501744.97561,210,2483.0
1588502756.232502,220,2092.0
1588504037.572161,230,2346.0
1588505338.742875,240,2073.0
1588506633.715996,250,2388.0
1588507917.695874,260,2503.0
1588509123.816779,270,2450.0
1588510419.781721,280,2299.0
1588511620.07803,290,2725.0
1588512997.905309,300,1982.0
1588514253.320702,310,2351.0
1588515239.460478,320,549.0
1588516465.358949,330,1694.0
1588517678.612496,340,1331.0
1588518756.727947,350,2224.0
1588519968.950596,360,1781.0
1588521021.684001,370,254.0
1588522160.924961,380,1987.0
1588523354.719473,390,233.0
1588524513.351814,400,691.0
1588525732.542035,410,1573.0
1588526794.186776,420,1331.0
1588527811.634074,430,2158.0
1588528777.765118,440,1483.0
1588529855.505042,450,373.0
1588530864.45545,460,137.0
1588531846.883632,470,184.0
1588532707.661765,480,561.0
1588533706.317413,490,100.0
1588534616.114303,500,498.0
1588535550.362705,510,79.0
1588536337.195604,520,272.0
1588537208.137552,530,397.0
1588538155.063116,540,126.0
1588538937.78445,550,415.0
1588539731.192998,560,65.0
1588540591.853781,570,383.0
1588541362.198304,580,294.0
1588542102.276767,590,206.0
