Wall time,Step,Value
1588542096.722212,0,2715.0
1588542603.005927,10,2797.0
1588543198.859507,20,2149.0
1588543951.055762,30,814.0
1588544549.739371,40,0.0
1588545327.315939,50,2548.0
1588546138.622254,60,2168.0
1588546973.254116,70,2371.0
1588547794.628473,80,2363.0
1588548624.504408,90,2553.0
1588549448.269352,100,1580.0
1588550257.633908,110,2069.0
1588551096.285704,120,2421.0
1588551916.396636,130,2076.0
1588552676.904543,140,2531.0
1588553535.865924,150,2219.0
1588554366.314526,160,2416.0
1588555322.925904,170,2540.0
1588556261.401386,180,1962.0
1588557002.310071,190,2183.0
1588557851.931041,200,2405.0
1588558649.690366,210,2101.0
1588559511.216523,220,2440.0
1588560386.324098,230,2229.0
1588561358.993185,240,2078.0
1588562272.452237,250,2146.0
1588563296.544449,260,2349.0
1588564317.084868,270,2086.0
1588565274.05059,280,2645.0
1588566092.580841,290,2352.0
1588567039.957148,300,1169.0
1588568032.51435,310,1702.0
1588568797.986827,320,1681.0
1588569580.113892,330,2367.0
1588570366.140977,340,502.0
1588571349.855116,350,1921.0
1588572340.981267,360,2074.0
1588573255.400116,370,499.0
1588574046.377162,380,1393.0
1588574839.39639,390,1975.0
1588575698.621282,400,1520.0
1588576442.312853,410,642.0
1588577292.649179,420,600.0
1588578097.362896,430,571.0
1588578786.761047,440,1444.0
1588579517.345139,450,1799.0
1588580141.907003,460,391.0
1588580822.885383,470,197.0
1588581452.562532,480,1231.0
1588582039.456208,490,127.0
1588582708.31279,500,1409.0
1588583293.331297,510,1125.0
1588583838.323688,520,137.0
1588584327.614036,530,120.0
1588584824.048783,540,696.0
1588585398.176235,550,111.0
1588585847.550658,560,138.0
1588586391.020625,570,253.0
1588586819.371118,580,106.0
1588587209.184629,590,503.0
