Wall time,Step,Value
1588472592.174548,0,2759.0
1588472984.064524,10,3009.0
1588473488.567291,20,2489.0
1588474092.269323,30,26.0
1588474596.192526,40,20.0
1588475186.596725,50,15.0
1588475748.571544,60,2867.0
1588476272.496667,70,2075.0
1588476875.375717,80,2356.0
1588477538.672848,90,1959.0
1588478051.290356,100,2683.0
1588478627.275891,110,2468.0
1588479183.519879,120,2537.0
1588479805.319435,130,2442.0
1588480322.033448,140,2730.0
1588480928.18436,150,2581.0
1588481562.510031,160,2075.0
1588482143.546145,170,2261.0
1588482858.308878,180,2451.0
1588483469.839603,190,1839.0
1588484116.915184,200,1270.0
1588484821.205228,210,1985.0
1588485517.634694,220,1239.0
1588486104.379481,230,2526.0
1588486801.235381,240,2344.0
1588487512.527125,250,2449.0
1588488278.951657,260,2452.0
1588488939.482851,270,1213.0
1588489698.733875,280,2021.0
1588490411.882313,290,2388.0
1588491040.865535,300,2516.0
1588491711.235753,310,2437.0
1588492409.443327,320,1695.0
1588493097.075458,330,2023.0
1588493781.849243,340,1699.0
1588494484.468944,350,1318.0
1588495162.0674,360,1571.0
1588495823.215187,370,2088.0
1588496504.072845,380,1866.0
1588497127.068897,390,1099.0
1588497833.057043,400,1549.0
1588498627.9533,410,772.0
1588499270.768796,420,534.0
1588499910.083352,430,1110.0
1588500589.862501,440,198.0
1588501137.347975,450,1718.0
1588501663.45993,460,438.0
1588502261.753273,470,753.0
1588502832.744123,480,1304.0
1588503242.131135,490,196.0
1588503661.390119,500,28.0
1588504173.554614,510,997.0
1588504559.681669,520,129.0
1588505042.374675,530,1271.0
1588505446.453451,540,24.0
1588505945.184723,550,36.0
1588506387.819128,560,41.0
1588506745.880231,570,104.0
1588507149.230378,580,24.0
1588507535.449422,590,1005.0
