Wall time,Step,Value
1588542049.720384,0,2849.0
1588542401.719728,10,2820.0
1588542860.617978,20,2622.0
1588543411.990641,30,1033.0
1588543930.662225,40,584.0
1588544443.966481,50,0.0
1588545018.909139,60,32.0
1588545548.965227,70,3022.0
1588546176.258632,80,2820.0
1588546728.081432,90,2466.0
1588547230.482546,100,250.0
1588547774.662735,110,2333.0
1588548356.756192,120,2408.0
1588548885.690289,130,2660.0
1588549491.650437,140,2292.0
1588550200.429333,150,2434.0
1588550800.072245,160,2266.0
1588551450.592721,170,2575.0
1588552044.738536,180,2616.0
1588552651.855598,190,2633.0
1588553274.188185,200,2632.0
1588553839.839549,210,2757.0
1588554387.305608,220,2641.0
1588555085.727631,230,2304.0
1588555622.030855,240,2359.0
1588556247.994017,250,2323.0
1588556926.336964,260,2332.0
1588557589.700482,270,1961.0
1588558208.131262,280,2546.0
1588558833.536241,290,1759.0
1588559356.682258,300,2636.0
1588560005.613502,310,2523.0
1588560626.409262,320,2530.0
1588561254.358641,330,2267.0
1588561889.141117,340,2120.0
1588562457.263529,350,2253.0
1588563130.726313,360,2259.0
1588563737.270087,370,2393.0
1588564365.99364,380,2569.0
1588564934.743757,390,972.0
1588565595.39733,400,2746.0
1588566195.405419,410,2627.0
1588566906.017387,420,437.0
1588567389.648233,430,706.0
1588567928.455191,440,350.0
1588568472.075954,450,655.0
1588568995.832157,460,254.0
1588569576.886683,470,1977.0
1588570036.384873,480,584.0
1588570504.37287,490,1141.0
1588570955.904341,500,1950.0
1588571478.57109,510,883.0
1588571968.591871,520,749.0
1588572438.208314,530,188.0
1588572857.531753,540,456.0
1588573287.31866,550,635.0
1588573779.178202,560,1016.0
1588574160.344602,570,338.0
1588574633.218665,580,609.0
1588575070.886798,590,633.0
