Wall time,Step,Value
1588863445.671258,0,3199.0
1588863678.869976,10,3150.0
1588864144.765233,20,2478.0
1588864618.142939,30,36.0
1588865227.549721,40,2397.0
1588865889.918118,50,2291.0
1588866471.485906,60,2474.0
1588867155.167122,70,2700.0
1588867771.254394,80,2308.0
1588868289.457233,90,2176.0
1588868875.517526,100,2335.0
1588869500.596477,110,2498.0
1588870156.069025,120,2365.0
1588870875.899115,130,2294.0
1588871572.532234,140,2785.0
1588872108.134646,150,2353.0
1588872795.31274,160,2383.0
1588873531.237558,170,2477.0
1588874272.521448,180,3163.0
1588874921.110857,190,3288.0
1588875483.027295,200,2965.0
1588876138.430778,210,3124.0
1588876767.723744,220,2614.0
1588877413.129685,230,2619.0
1588878088.481336,240,2629.0
1588878747.964741,250,2642.0
1588879408.813827,260,2532.0
1588880105.928871,270,2390.0
1588880742.521199,280,2260.0
1588881392.898191,290,2061.0
1588882084.74096,300,1899.0
1588882829.282459,310,1829.0
1588883491.767969,320,2279.0
1588884135.463651,330,1807.0
1588884805.393874,340,2073.0
1588885504.668213,350,1975.0
1588886099.519402,360,2310.0
1588886865.157403,370,2193.0
1588887624.560701,380,2120.0
1588888293.169568,390,2102.0
1588888931.418983,400,847.0
1588889634.283119,410,1842.0
1588890377.990913,420,1961.0
1588890970.758955,430,954.0
1588891729.181278,440,1906.0
1588892421.525632,450,1393.0
1588892976.623591,460,1554.0
1588893593.493356,470,452.0
1588894300.205893,480,1756.0
1588894983.777137,490,2055.0
1588895583.082609,500,876.0
1588896182.244824,510,819.0
1588896777.175058,520,770.0
1588897377.482405,530,1306.0
1588898035.323849,540,1769.0
1588898677.402764,550,1362.0
1588899303.700749,560,944.0
1588899864.704929,570,400.0
1588900505.186786,580,636.0
1588901118.403138,590,831.0
